Час визита,Визиты,Просмотры,Посетители,Отказы
2019-01-01 01:00:00,480,711,474,0.3083333333333333
2019-01-01 02:00:00,350,548,344,0.2314285714285714
2019-01-01 03:00:00,302,424,298,0.2682119205298013
2019-01-01 04:00:00,197,286,197,0.2385786802030456
2019-01-01 05:00:00,214,324,213,0.2897196261682243
2019-01-01 06:00:00,230,362,228,0.1956521739130435
2019-01-01 07:00:00,314,469,313,0.2229299363057325
2019-01-01 08:00:00,442,728,435,0.2285067873303167
2019-01-01 09:00:00,587,944,582,0.2231686541737649
2019-01-01 10:00:00,716,1081,705,0.2430167597765363
2019-01-01 11:00:00,855,1262,848,0.2502923976608187
2019-01-01 12:00:00,1156,1729,1151,0.263840830449827
2019-01-01 13:00:00,1266,1876,1260,0.2535545023696682
2019-01-01 14:00:00,1300,1936,1284,0.2776923076923077
2019-01-01 15:00:00,1587,2448,1574,0.2331442974165091
2019-01-01 16:00:00,1304,2017,1300,0.2415644171779141
2019-01-01 17:00:00,1380,2226,1371,0.2514492753623188
2019-01-01 18:00:00,1370,2096,1359,0.2532846715328467
2019-01-01 19:00:00,1229,1900,1218,0.2733930024410089
2019-01-01 20:00:00,1270,2028,1261,0.2937007874015748
2019-01-01 21:00:00,1193,2035,1183,0.2967309304274937
2019-01-01 22:00:00,839,1348,830,0.2610250297973778
2019-01-01 23:00:00,676,1064,669,0.2736686390532544
2019-01-02 00:00:00,658,928,655,0.4042553191489361
2019-01-02 01:00:00,358,561,357,0.2569832402234637
2019-01-02 02:00:00,265,459,262,0.2792452830188679
2019-01-02 03:00:00,200,320,200,0.225
2019-01-02 04:00:00,212,348,209,0.2122641509433962
2019-01-02 05:00:00,232,360,230,0.2801724137931034
2019-01-02 06:00:00,418,738,417,0.2177033492822966
2019-01-02 07:00:00,566,1012,563,0.2491166077738515
2019-01-02 08:00:00,771,1262,766,0.2373540856031128
2019-01-02 09:00:00,840,1230,834,0.294047619047619
2019-01-02 10:00:00,1025,1560,1017,0.2604878048780488
2019-01-02 11:00:00,1106,1680,1096,0.2341772151898734
2019-01-02 12:00:00,1137,1710,1121,0.2374670184696569
2019-01-02 13:00:00,1162,1661,1150,0.2650602409638554
2019-01-02 14:00:00,1659,2462,1648,0.2875226039783002
2019-01-02 15:00:00,1341,1984,1330,0.255779269202088
2019-01-02 16:00:00,1132,1668,1119,0.2871024734982332
2019-01-02 17:00:00,1099,1615,1088,0.27024567788899
2019-01-02 18:00:00,1124,1716,1117,0.24288256227758
2019-01-02 19:00:00,1055,1607,1050,0.2872037914691943
2019-01-02 20:00:00,1002,1429,998,0.282435129740519
2019-01-02 21:00:00,984,1559,978,0.2723577235772357
2019-01-02 22:00:00,852,1246,848,0.3133802816901408
2019-01-02 23:00:00,580,841,573,0.2586206896551724
2019-01-03 00:00:00,751,1115,748,0.336884154460719
2019-01-03 01:00:00,372,554,370,0.25
2019-01-03 02:00:00,261,450,260,0.2068965517241379
2019-01-03 03:00:00,220,374,220,0.25
2019-01-03 04:00:00,207,309,207,0.2270531400966183
2019-01-03 05:00:00,311,486,310,0.247588424437299
2019-01-03 06:00:00,417,731,415,0.2541966426858513
2019-01-03 07:00:00,493,863,491,0.2657200811359026
2019-01-03 08:00:00,661,1014,657,0.2360060514372163
2019-01-03 09:00:00,960,1386,953,0.24375
2019-01-03 10:00:00,1082,1650,1069,0.2476894639556377
2019-01-03 11:00:00,1115,1623,1106,0.2511210762331838
2019-01-03 12:00:00,1151,1685,1138,0.2545612510860122
2019-01-03 13:00:00,1104,1565,1096,0.2817028985507246
2019-01-03 14:00:00,1204,1892,1197,0.2392026578073089
2019-01-03 15:00:00,1172,1711,1166,0.2346416382252559
2019-01-03 16:00:00,1096,1649,1090,0.2490875912408759
2019-01-03 17:00:00,1174,1719,1163,0.262350936967632
2019-01-03 18:00:00,1197,1789,1192,0.2573099415204678
2019-01-03 19:00:00,1187,1725,1173,0.2855939342881213
2019-01-03 20:00:00,1176,1709,1166,0.2908163265306122
2019-01-03 21:00:00,1033,1566,1025,0.2865440464666021
2019-01-03 22:00:00,831,1272,826,0.2647412755716005
2019-01-03 23:00:00,607,859,602,0.3130148270181219
2019-01-04 00:00:00,648,1012,644,0.3796296296296296
2019-01-04 01:00:00,357,586,355,0.2464985994397759
2019-01-04 02:00:00,292,483,290,0.2020547945205479
2019-01-04 03:00:00,231,328,230,0.2554112554112554
2019-01-04 04:00:00,187,292,187,0.2513368983957219
2019-01-04 05:00:00,257,416,254,0.2645914396887159
2019-01-04 06:00:00,351,514,348,0.2849002849002849
2019-01-04 07:00:00,471,695,469,0.2781316348195329
2019-01-04 08:00:00,612,917,607,0.2777777777777778
2019-01-04 09:00:00,800,1165,795,0.25
2019-01-04 10:00:00,937,1439,931,0.256136606189968
2019-01-04 11:00:00,1025,1747,1022,0.2585365853658536
2019-01-04 12:00:00,1039,1712,1033,0.2637151106833493
2019-01-04 13:00:00,1032,1590,1028,0.2625968992248062
2019-01-04 14:00:00,1025,1738,1019,0.2702439024390244
2019-01-04 15:00:00,1163,1874,1151,0.23731728288908
2019-01-04 16:00:00,1191,2005,1181,0.2619647355163728
2019-01-04 17:00:00,1159,1981,1148,0.2320966350301984
2019-01-04 18:00:00,1057,1733,1048,0.2876064333017975
2019-01-04 19:00:00,1105,1836,1096,0.2760180995475113
2019-01-04 20:00:00,1198,1901,1186,0.3046744574290484
2019-01-04 21:00:00,1069,1825,1062,0.2974742750233863
2019-01-04 22:00:00,720,1320,712,0.2611111111111111
2019-01-04 23:00:00,615,1106,611,0.3317073170731707
2019-01-05 00:00:00,835,1441,829,0.2982035928143712
2019-01-05 01:00:00,365,756,362,0.2493150684931507
2019-01-05 02:00:00,240,568,238,0.2958333333333333
2019-01-05 03:00:00,188,451,185,0.1914893617021277
2019-01-05 04:00:00,171,431,170,0.1929824561403508
2019-01-05 05:00:00,262,604,260,0.2061068702290076
2019-01-05 06:00:00,354,782,351,0.2203389830508474
2019-01-05 07:00:00,449,962,447,0.2160356347438752
2019-01-05 08:00:00,581,938,576,0.2375215146299483
2019-01-05 09:00:00,754,1127,748,0.2427055702917772
2019-01-05 10:00:00,895,1308,888,0.2581005586592179
2019-01-05 11:00:00,992,1637,987,0.2328629032258064
2019-01-05 12:00:00,1044,1516,1034,0.2691570881226053
2019-01-05 13:00:00,1119,1645,1110,0.2859696157283288
2019-01-05 14:00:00,1118,1696,1112,0.259391771019678
2019-01-05 15:00:00,1088,1668,1074,0.2527573529411764
2019-01-05 16:00:00,1206,1766,1199,0.2537313432835821
2019-01-05 17:00:00,1153,1881,1145,0.2324371205550737
2019-01-05 18:00:00,1256,1837,1247,0.2762738853503185
2019-01-05 19:00:00,1244,1871,1236,0.2668810289389067
2019-01-05 20:00:00,1130,1654,1117,0.2884955752212389
2019-01-05 21:00:00,1057,1586,1048,0.2658467360454115
2019-01-05 22:00:00,862,1273,855,0.2784222737819025
2019-01-05 23:00:00,629,922,624,0.2416534181240063
2019-01-06 00:00:00,689,1046,685,0.3236574746008708
2019-01-06 01:00:00,374,561,365,0.2780748663101604
2019-01-06 02:00:00,232,391,231,0.2112068965517241
2019-01-06 03:00:00,202,296,200,0.2425742574257425
2019-01-06 04:00:00,230,420,229,0.1913043478260869
2019-01-06 05:00:00,265,440,263,0.2792452830188679
2019-01-06 06:00:00,372,681,371,0.260752688172043
2019-01-06 07:00:00,534,950,531,0.2378277153558052
2019-01-06 08:00:00,585,935,581,0.2256410256410256
2019-01-06 09:00:00,755,1067,749,0.2781456953642384
2019-01-06 10:00:00,943,1355,938,0.2619300106044538
2019-01-06 11:00:00,1026,1515,1021,0.226120857699805
2019-01-06 12:00:00,1126,1728,1117,0.2468916518650089
2019-01-06 13:00:00,1086,1597,1083,0.2670349907918968
2019-01-06 14:00:00,1089,1622,1077,0.2580348943985308
2019-01-06 15:00:00,1206,1775,1198,0.2429519071310116
2019-01-06 16:00:00,1113,1706,1107,0.2353998203054806
2019-01-06 17:00:00,1156,1751,1144,0.2837370242214533
2019-01-06 18:00:00,1148,1748,1142,0.2613240418118467
2019-01-06 19:00:00,1134,1717,1123,0.2698412698412698
2019-01-06 20:00:00,1167,1813,1164,0.2579263067694944
2019-01-06 21:00:00,1001,1530,989,0.2807192807192807
2019-01-06 22:00:00,841,1274,835,0.2639714625445897
2019-01-06 23:00:00,629,957,622,0.2368839427662957
2019-01-07 00:00:00,546,803,542,0.3809523809523809
2019-01-07 01:00:00,314,480,313,0.3057324840764331
2019-01-07 02:00:00,219,343,219,0.2922374429223744
2019-01-07 03:00:00,207,331,205,0.2367149758454106
2019-01-07 04:00:00,201,341,196,0.2139303482587064
2019-01-07 05:00:00,200,319,199,0.245
2019-01-07 06:00:00,300,471,298,0.23
2019-01-07 07:00:00,398,635,395,0.2437185929648241
2019-01-07 08:00:00,526,765,522,0.2338403041825095
2019-01-07 09:00:00,754,1121,750,0.2586206896551724
2019-01-07 10:00:00,982,1457,974,0.2576374745417515
2019-01-07 11:00:00,1154,1766,1143,0.2608318890814558
2019-01-07 12:00:00,1170,1679,1163,0.2803418803418803
2019-01-07 13:00:00,1103,1582,1098,0.2620126926563916
2019-01-07 14:00:00,1051,1656,1043,0.2235965746907706
2019-01-07 15:00:00,1214,1793,1202,0.2133443163097199
2019-01-07 16:00:00,1055,1552,1050,0.2483412322274881
2019-01-07 17:00:00,1207,1942,1199,0.2394366197183098
2019-01-07 18:00:00,1158,1678,1151,0.2867012089810017
2019-01-07 19:00:00,1200,1895,1190,0.26
2019-01-07 20:00:00,1133,1647,1124,0.265666372462489
2019-01-07 21:00:00,1114,1646,1107,0.2675044883303411
2019-01-07 22:00:00,895,1427,890,0.2469273743016759
2019-01-07 23:00:00,597,852,592,0.3031825795644891
2019-01-08 00:00:00,661,930,659,0.4251134644478063
2019-01-08 01:00:00,319,511,319,0.2946708463949843
2019-01-08 02:00:00,216,343,215,0.3194444444444444
2019-01-08 03:00:00,166,373,165,0.2771084337349397
2019-01-08 04:00:00,175,274,175,0.2514285714285714
2019-01-08 05:00:00,179,294,179,0.2905027932960894
2019-01-08 06:00:00,326,484,324,0.2423312883435582
2019-01-08 07:00:00,435,725,433,0.2666666666666666
2019-01-08 08:00:00,560,834,554,0.2571428571428571
2019-01-08 09:00:00,815,1222,807,0.256441717791411
2019-01-08 10:00:00,989,1493,980,0.2568250758341759
2019-01-08 11:00:00,1259,1944,1250,0.2660841938046068
2019-01-08 12:00:00,1090,1518,1083,0.2577981651376146
2019-01-08 13:00:00,1172,1779,1162,0.2397610921501706
2019-01-08 14:00:00,1160,1711,1154,0.253448275862069
2019-01-08 15:00:00,1226,1799,1209,0.2455138662316476
2019-01-08 16:00:00,1195,1778,1189,0.2401673640167364
2019-01-08 17:00:00,1248,1920,1237,0.250801282051282
2019-01-08 18:00:00,1187,1818,1174,0.2451558550968829
2019-01-08 19:00:00,1154,1806,1152,0.2435008665511265
2019-01-08 20:00:00,1109,1724,1100,0.2353471596032461
2019-01-08 21:00:00,1012,1518,1012,0.2638339920948616
2019-01-08 22:00:00,842,1288,837,0.2577197149643705
2019-01-08 23:00:00,615,925,610,0.2552845528455285
2019-01-09 00:00:00,463,680,462,0.3866090712742981
2019-01-09 01:00:00,261,421,261,0.2796934865900383
2019-01-09 02:00:00,185,283,183,0.227027027027027
2019-01-09 03:00:00,184,288,182,0.2554347826086957
2019-01-09 04:00:00,182,318,182,0.2362637362637362
2019-01-09 05:00:00,215,319,215,0.241860465116279
2019-01-09 06:00:00,350,568,348,0.22
2019-01-09 07:00:00,478,696,476,0.2322175732217573
2019-01-09 08:00:00,547,826,546,0.2522851919561243
2019-01-09 09:00:00,696,1066,695,0.2198275862068965
2019-01-09 10:00:00,870,1341,866,0.232183908045977
2019-01-09 11:00:00,927,1403,922,0.2664509169363538
2019-01-09 12:00:00,875,1290,871,0.2331428571428571
2019-01-09 13:00:00,916,1303,915,0.2685589519650655
2019-01-09 14:00:00,1015,1503,1007,0.2502463054187192
2019-01-09 15:00:00,994,1541,989,0.2072434607645875
2019-01-09 16:00:00,1131,1657,1124,0.2714412024756852
2019-01-09 17:00:00,1197,1755,1193,0.2548036758563074
2019-01-09 18:00:00,1288,1928,1278,0.2787267080745341
2019-01-09 19:00:00,1231,1817,1225,0.2542648253452477
2019-01-09 20:00:00,1123,1673,1119,0.2502226179875333
2019-01-09 21:00:00,1098,1629,1092,0.2604735883424408
2019-01-09 22:00:00,819,1227,811,0.2564102564102564
2019-01-09 23:00:00,442,696,440,0.2171945701357466
2019-01-10 00:00:00,495,707,492,0.3777777777777777
2019-01-10 01:00:00,264,370,262,0.2954545454545454
2019-01-10 02:00:00,185,279,184,0.2594594594594595
2019-01-10 03:00:00,161,229,160,0.2546583850931677
2019-01-10 04:00:00,170,281,169,0.2705882352941176
2019-01-10 05:00:00,251,363,250,0.2549800796812749
2019-01-10 06:00:00,308,500,307,0.224025974025974
2019-01-10 07:00:00,384,562,383,0.2682291666666667
2019-01-10 08:00:00,483,818,481,0.2546583850931677
2019-01-10 09:00:00,665,1005,660,0.2466165413533834
2019-01-10 10:00:00,731,1102,725,0.2435020519835841
2019-01-10 11:00:00,831,1270,828,0.2551143200962695
2019-01-10 12:00:00,867,1266,861,0.2779700115340254
2019-01-10 13:00:00,816,1226,813,0.2794117647058823
2019-01-10 14:00:00,858,1240,854,0.2715617715617716
2019-01-10 15:00:00,988,1452,978,0.2479757085020243
2019-01-10 16:00:00,990,1472,983,0.2252525252525252
2019-01-10 17:00:00,1056,1546,1047,0.2528409090909091
2019-01-10 18:00:00,1124,1713,1116,0.2571174377224199
2019-01-10 19:00:00,1151,1746,1144,0.259774109470026
2019-01-10 20:00:00,1042,1629,1034,0.2418426103646832
2019-01-10 21:00:00,898,1399,895,0.2461024498886414
2019-01-10 22:00:00,718,1091,712,0.2270194986072423
2019-01-10 23:00:00,548,809,545,0.3321167883211678
2019-01-11 00:00:00,456,616,453,0.4078947368421052
2019-01-11 01:00:00,238,315,237,0.3025210084033613
2019-01-11 02:00:00,144,219,142,0.2291666666666666
2019-01-11 03:00:00,146,225,146,0.2602739726027397
2019-01-11 04:00:00,175,249,172,0.2914285714285714
2019-01-11 05:00:00,211,338,211,0.2654028436018957
2019-01-11 06:00:00,327,505,325,0.2538226299694189
2019-01-11 07:00:00,397,712,395,0.2191435768261964
2019-01-11 08:00:00,577,971,571,0.2790294627383015
2019-01-11 09:00:00,630,885,628,0.2857142857142857
2019-01-11 10:00:00,755,1049,750,0.2768211920529801
2019-01-11 11:00:00,950,1309,943,0.291578947368421
2019-01-11 12:00:00,1053,1464,1044,0.3086419753086419
2019-01-11 13:00:00,1287,1863,1279,0.2882672882672882
2019-01-11 14:00:00,1278,1806,1273,0.3309859154929577
2019-01-11 15:00:00,1272,1863,1267,0.339622641509434
2019-01-11 16:00:00,1055,1603,1048,0.2758293838862559
2019-01-11 17:00:00,665,1085,659,0.1338345864661654
2019-01-11 18:00:00,766,1227,761,0.1684073107049608
2019-01-11 19:00:00,774,1215,770,0.1614987080103359
2019-01-11 20:00:00,763,1254,753,0.146788990825688
2019-01-11 21:00:00,625,966,614,0.1456
2019-01-11 22:00:00,569,835,564,0.1458699472759226
2019-01-11 23:00:00,463,755,459,0.1663066954643628
2019-01-12 00:00:00,545,792,543,0.3944954128440367
2019-01-12 01:00:00,251,354,251,0.3306772908366533
2019-01-12 02:00:00,220,322,219,0.2818181818181818
2019-01-12 03:00:00,225,333,223,0.3022222222222222
2019-01-12 04:00:00,232,343,231,0.2801724137931034
2019-01-12 05:00:00,264,369,262,0.3106060606060606
2019-01-12 06:00:00,372,548,366,0.2795698924731182
2019-01-12 07:00:00,417,654,417,0.3381294964028777
2019-01-12 08:00:00,586,946,581,0.3242320819112628
