"Час визита","Визиты","Просмотры","Посетители","Отказы"
"Итого и средние","48501614","206435571","27840846","0.29611573338569724"
"2023-03-19 18:00:00","31681","106839","30156","0.3449070420756921"
"2023-03-14 19:00:00","29886","104037","28736","0.32610586896874794"
"2023-03-10 19:00:00","29101","104828","27819","0.3172743204700869"
"2023-03-05 17:00:00","28852","97054","27699","0.34988908914460004"
"2023-03-19 19:00:00","28687","101435","27379","0.32628019660473384"
"2023-03-10 20:00:00","28668","98683","27444","0.32806613645876936"
"2023-03-07 19:00:00","28382","97146","27267","0.3408498344020858"
"2023-03-05 14:00:00","28328","100445","27354","0.3307328438294267"
"2023-03-05 16:00:00","28220","97271","27139","0.34316087880935503"
"2023-03-18 20:00:00","28179","107885","26943","0.3052982717626601"
"2023-04-19 19:00:00","28105","105271","26226","0.3070983810709838"
"2023-03-05 15:00:00","28057","98075","27017","0.3359945824571408"
"2023-03-05 20:00:00","27950","85543","27076","0.35130590339892664"
"2023-03-05 18:00:00","27881","92825","26798","0.34740504286072954"
"2023-03-05 19:00:00","27799","91514","26697","0.3405158458937372"
"2023-03-14 18:00:00","27752","95631","26699","0.3291294321130009"
"2023-03-04 19:00:00","27736","97784","26781","0.33934237092587255"
"2023-03-11 19:00:00","27685","100745","26668","0.3327794834748058"
"2023-03-14 20:00:00","27683","95750","26569","0.32351984972726944"
"2023-03-05 13:00:00","27669","100710","26640","0.32780367920777764"
"2023-03-22 20:00:00","27462","96536","26050","0.31272303546719105"
"2023-03-14 17:00:00","27453","95209","26267","0.33402542527228346"
"2023-03-18 19:00:00","27442","108355","26165","0.30190948181619415"
"2023-03-04 20:00:00","27415","91818","26420","0.3453583804486595"
"2023-03-04 18:00:00","27378","95822","26342","0.3458981664109869"
"2023-03-10 21:00:00","27314","89061","26216","0.35025993995753096"
"2023-03-18 21:00:00","27249","97883","26113","0.3251862453668025"
"2023-03-11 18:00:00","27167","97118","26151","0.32738248610446496"
"2023-03-08 19:00:00","26946","89575","25879","0.33941957990054183"
"2023-03-09 19:00:00","26902","97589","25907","0.3102743290461676"
"2023-03-19 20:00:00","26794","94236","25543","0.3274240501604837"
"2023-03-07 21:00:00","26697","85705","25548","0.36255009926208936"
"2023-03-07 18:00:00","26557","91331","25519","0.3339232594043002"
"2023-03-18 18:00:00","26512","104123","25365","0.3010712130356065"
"2023-03-19 17:00:00","26501","100612","25238","0.31670502999886796"
"2023-03-04 17:00:00","26452","96189","25404","0.34182670497504913"
"2023-03-11 20:00:00","26369","93347","25411","0.3328150479729986"
"2023-03-07 20:00:00","26346","90331","25224","0.3432399605253169"
"2023-03-04 14:00:00","26298","97025","25527","0.3323066392881588"
"2023-03-15 19:00:00","26273","92676","25390","0.2866060213907814"
"2023-03-03 20:00:00","26249","90332","25253","0.3414606270715075"
"2023-03-10 18:00:00","26248","101018","25211","0.3155288021944529"
"2023-03-08 18:00:00","26229","91271","25272","0.3395097030004956"
"2023-04-09 19:00:00","26208","88558","24953","0.34222374847374853"
"2023-03-08 17:00:00","26142","91540","25164","0.3393389947211384"
"2023-03-08 16:00:00","26107","91422","25116","0.3370743478760485"
"2023-03-08 20:00:00","26027","85834","24914","0.34894532600760747"
"2023-03-04 12:00:00","26025","101342","25347","0.29671469740634004"
"2023-03-03 19:00:00","25789","93158","24915","0.3255651634417775"
"2023-03-04 13:00:00","25711","95542","24994","0.31667379720742095"
"2023-03-16 19:00:00","25665","102484","24610","0.26916033508669396"
"2023-03-17 20:00:00","25656","95213","24559","0.3078032429061428"
"2023-03-08 13:00:00","25624","92810","24707","0.32578832344676867"
"2023-03-03 21:00:00","25607","82566","24725","0.3519350177685789"
"2023-03-17 19:00:00","25577","100540","24576","0.2928021269108965"
"2023-03-22 19:00:00","25565","95169","24456","0.30021513788382553"
"2023-03-05 21:00:00","25521","74948","24634","0.35566788135261157"
"2023-03-07 22:00:00","25519","71707","24428","0.3795211411105451"
"2023-03-04 21:00:00","25498","85275","24541","0.35018432818260253"
"2023-03-23 19:00:00","25497","94364","24146","0.27811115033141154"
"2023-03-15 20:00:00","25495","91822","24674","0.29166503235928615"
"2023-03-05 12:00:00","25452","92694","24547","0.3355335533553355"
"2023-03-04 16:00:00","25412","91387","24539","0.3375177081693688"
"2023-03-12 17:00:00","25363","90739","24514","0.32275361747427356"
"2023-03-12 16:00:00","25360","89093","24524","0.3281545741324921"
"2023-03-19 14:00:00","25326","96712","24174","0.30707573244886677"
"2023-03-11 17:00:00","25272","94246","24445","0.3213833491611269"
"2023-03-12 19:00:00","25268","87201","24426","0.32966598068703507"
"2023-03-02 19:00:00","25235","87012","24403","0.31234396671289877"
"2023-03-19 16:00:00","25160","96991","23999","0.313275039745628"
"2023-03-11 12:00:00","25149","97481","24533","0.28768539504552865"
